id_inventario;nombre_articulo;tipo_modelo;color;marca;medida;existencia;entrada;salida
493;banda HI power;B60;negro;No aplica;unidad;14;0;0
494;banda HI power;B58;negro;No aplica;unidad;1;0;0
495;banda HI power;B57;negro;No aplica;unidad;2;0;0
496;banda HI power;B75;negro;No aplica;unidad;7;0;0
497;Banda  DAYCON ;b76;negro;No aplica;unidad;4;0;0
498;Banda tri power;Bx49;negro;No aplica;unidad;3;0;0
499;Banda Hipower;B53;negro;No aplica;unidad;2;0;0
500;Banda RSPC;M411425;negro;No aplica;unidad;2;0;0
501;banda ;3VX 850;negro;No aplica;unidad;4;0;0
502;banda super HC;5Vx800;negro;No aplica;unidad;4;0;0
503;banda BELT;3V800;Negro;No aplica;unidad;5;0;0
504;banda dayco;B28 17x281mm;negro;No aplica;unidad;1;0;0
505;Banda HIpower;A 25;negro;No aplica;unidad;4;0;0
506;Banda Hipower;A42;negro;No aplica;unidad;4;0;0
507;banda HI power;A 48;negro;No aplica;unidad;6;0;0
508;banda HI power;A 64;Negro;No aplica;unidad;4;1;0
509;banda HI power;A 52;negro;No aplica;unidad;6;1;0
510;Banda Hipower;A 57;negro;No aplica;unidad;14;0;0
511;banda HI power;A60;negro;No aplica;unidad;12;0;0
512;Bnda HI power;A 75;negro;No aplica;unidad;2;0;0
513;banda HI power;A 67;Negro;No aplica;unidad;2;0;0
514;gas refrigernte;R 22;camaras;tanque de57 k;bolla;2;0;2
515;gas refrigernte;410 A;camaras /Refri;No aplica;bolla;1;0;0
516;gas refrigernte;404 A;camaras /Refri;No aplica;bolla;1;0;0
517;Thiner estandar;estandar W;SHERWIN;No aplica;unidad;0;1;32
518;aceite p/chiller;No aplica;yor;No aplica;tanque;2;0;0
519;agua  P/ bateria;optinus;No aplica;No aplica;galones;3;0;0
520;caña termo flexi  3/4;No aplica;termo flex;No aplica;unidad;4;0;0
521;caña termo flex   1/2;No aplica;termo flex;No aplica;unidad;4;0;0
522;Caña termo flex  1/4;No aplica;No aplica;No aplica;unidad;50;0;0
523;Maya para serca;No aplica;No aplica;No aplica;rollo;3;0;0
524;Aceite 2 tiempo;No aplica;truper;No aplica;unidad;4;0;2
525;Actuador para clima de HAB;va-7010-8502-c;CE ;No aplica;120 V;0;5;5
526;cemento blanco;;uniblok;No aplica;kilo;4;0;4
527;felpa  p/rodillo -  9;micro fibra  -3/8;truper;No aplica;unidad;5;20;24
528;felpa  p/rodillo -  9;pretul                   3/8;No aplica;No aplica;unidad;2;0;2
529;FELPA  p/rodillo -  4;micro fibra  -3/8;No aplica;No aplica;unidad;2;14;10
530;lampara toledo;100 watts;lumiannce;No aplica;120/220;0;9;0
531;Lampar florente led ;EG-T8C-40W  240CM;energain;BLANCO FRIO;unidad;20;0;14
532;tiner americono;comex;No aplica;No aplica;18 lts;0;1;24
533;pintura esmalte ;sherwin;No aplica;negro;unidad;0;1;1
534;pasador abatible HAHB.;hermex;cromado;No aplica;unidad;0;20;2
535;FELPA p/rodello da 4;No aplica;No aplica;No aplica;unidad;6;20;14
536;bisagra cuadrada  ;ermex;asero  ;No aplica;3 pulg. (juegos);5;0;0
537;pija tablaroquera;vekey;8x1;No aplica;01 pulg.;0;600;600
538;pegamento loctite;loctite 495;No aplica;2 gotero de 20 g;gotero;2;0;2
539;barniz nitrocelulosa;sayer laca industrial;rojo oxido;2 lts.;unidad;0;2;1
540;barniz nitrocelulosa;sayer sellalack ;NS-0270;4 LTS.;unidad;0;4;2
541;PASTILLA TERMICO;Q.O 15 ampr;No aplica;No aplica;1x1;0;2;2
542;Balbula esfera 1 pulg;WOG line ;No aplica;para vapor;unidad;0;2;1
543;cinta teflon;garlok ;No aplica;No aplica;unidad;0;10;6
544;resanador ok;comex;No aplica;No aplica;950 litros;1;5;1
545;Lija hojas;fandali;No aplica;1500;unidad;25;0;5
546;resistol 500 ;resistol;No aplica;No aplica;unidad;2;1;1
547;lijs 320 ;fandeli;No aplica;No aplica;unidad;0;10;2
548;lija 80;fandeli;No aplica;No aplica;unidad;0;2;1
549;mangura p/regadera de tel;esero inoxidable;No aplica;No aplica;1.82 m;1;4;2
550;cisnta aislate ;super scohh 33;No aplica;No aplica;unidad;0;20;14
551;Bolsa negra 90x120;mega fuerte;No aplica;No aplica;unidad;3;75;50
552;Bolsa blanca 60x90;mega fuerte;No aplica;No aplica;unidad;1;12;3
553;pasta gris de piroxilina;KF-0615.30;sayer;No aplica;unidad;1;1;2
554;pintura esmante acrilico;EK 0100;sayer;No aplica;unidad;0;3;3
555;cerradura de barra;Hermex cb-400;isquierda;No aplica;unidad;0;2;1
556;cubre pija de w.c;coflex;p.v.c;No aplica;unidad;0;18;2
557;aflojatodo WD-40;W.D-40 311 gra;;No aplica;unidad;0;4;3
558;cuchillas p/ Repuesto;truper ;para cuter #7;No aplica;unidad;0;10;4
559;Valvula 3/4 Para vapor;WOG line ;No aplica;No aplica;unidad;0;2;0
560;Resanador metal,plastico;Sayer;No aplica;No aplica;250ml;0;1;1
561;cloro  50 kilos;pastilla;No aplica;No aplica;cunete;1;1;1
562;cloro  50 kilos;polvo;No aplica;No aplica;unidad;1;0;0
563;for clin azul;liquido;No aplica;No aplica;unidad;60;0;20
564;conectores elec P/tira led;No aplica;No aplica;No aplica;unidad;8;2;6
565;chifones  de incendio;oficina de mantto.;No aplica;No aplica;unidad;17;0;0
566;banbula de hidrante incen.;oficina de mantto.;No aplica;No aplica;unidad;2;0;0
567;Llave p/mangura incendio;oficina de mantto.;No aplica;No aplica;unidad;2;0;0
568;cable elec huso rudo  #12;3 HILO forrado;No aplica;No aplica;unidad;100;0;85
569;Bloquedor de umedad;blanco;Sherwin;No aplica;unidad;0;2;1
570;gasolina jardin;No aplica;No aplica;No aplica;unidad;20;60;45
571;contecto ele. c/USB;HAB.;No aplica;No aplica;unidad;0;3;1
572;Cinta de señalamiento;amarilla y negro p/piso;No aplica;No aplica;unidad;0;3;1
573;vaportay ;pegamento negro;No aplica;No aplica;unidad;0;1;0
574;Lampara reflector ;jardin;No aplica;No aplica;unidad;0;6;6
575;Nible corrido   1/2 P;p.b.c hidraulico;No aplica;No aplica;unidad;0;10;0
576;bomba p/ lavadora drenaje;unimax 220 vol;2 1/2;No aplica;unidad;0;1;1
577;super drain p/drenaje;polvo;No aplica;No aplica;unidad;0;12;1
578;contacto con tierra  HAB.;estaevez hc-e90329;blanco;No aplica;unidad;0;3;0
579;Tonillo 8X1 PIJA;GAVANISADO;No aplica;No aplica;100;0;3;1
580;tornillo 8x2 pija;galvanisado;No aplica;No aplica;100;0;2;0
581;tornillo c/taquete mariposa;fierro 3/16;No aplica;No aplica;50;0;1;0
582;pintura esmante    ;6063 serwin ;agua ras aplicacio;No aplica;cubeta;0;4;3
583;agua ras ;para pintura 6063;No aplica;No aplica;galones;0;2;2
584;impermilisante;techo lasti 10 años;No aplica;No aplica;unidad;0;3;3
585;cinta amarilla 2;No aplica;No aplica;No aplica;unidad;0;3;0
586;cerradura para escritorio;hermex   ;No aplica;No aplica;unidad;0;5;0
587;cemento motero 25 kgs;cemex;No aplica;No aplica;sacos;0;5;0
588;poli lack;ub-0240 simi mate;No aplica;No aplica;lts;0;3;0
589;catalisador;uc - 0200030;No aplica;No aplica;lts;0;5;0
