id_inventario;nombre_articulo;tipo_modelo;color;marca;medida;existencia;entrada;salida
240;sello macanico pt106  3/4;resorte corto;No aplica;vazel;unidad;5;0;0
241;sello mecanico oy 60;resorte corto 1 1/4;No aplica;gimex;unidad;2;0;0
242;sello mecanico 1 1/2;resote corto ;No aplica;Ipecom;unidad;1;0;0
243;tornillo 1/2 X3;Asero galvanisado;No aplica;No aplica;unidad;25;0;0
244;tornillo 3/4 X6;Asero  galvanizado;No aplica;No aplica;unidad;5;0;0
245;tornillo c/cabeza de gota;Asero galvanisado;No aplica;kilos;1;1;0;0
246;pija c /punta phillips;galbanisado;No aplica;No aplica;unidad;150;0;100
247;taquete de plastico 1/4;No aplica;No aplica;gris;unidad;100;100;100
248;taquete de plastico 3/8;usu tablaca roca;No aplica;blaco;unidad;80;0;0
249;taquete de plastico 3/8;No aplica;No aplica;blanco;unidad;150;0;0
250; taquete plastico 3/8;No aplica;No aplica;gris;unidad;150;0;0
251;codo 90 grado  6 pulg. ;p.b.c hidraulico;No aplica;blaco;unidad;2;0;0
252;codo 45 grado  6 pulg.;p.b.c hidraulico;No aplica;blaco;unidad;3;0;0
253;codo  90 grado  6 pulg.;p.b.c hidraulico;No aplica;blaco;unidad;1;0;0
254;cople liso  6 pulg.;p. b. c  hidraulico;No aplica;blanco;unidad;2;0;0
255;T       6 PULG.;p.b.c hidraulico;No aplica;blanco;unidad;1;0;0
256;T    4 pulg.  ;sanitario;No aplica;blanco;unidad;4;0;0
257;codo  45 grado   4 pulg.;sanitario;No aplica;blanco;unidad;8;0;0
258;Y                               4 PULG;sanitario;No aplica;blanco;unidad;1;0;0
259;codo  45 grado   4 pulg.;hidraulico;No aplica;blanco;unidad;2;0;0
260;T       90 grado      4 pulg.;hidraulico;No aplica;blanco;unidad;4;0;0
261;tuerca union       4 pulg.;hidraulico;No aplica;blnco;unidad;1;0;1
262;conector r/liso   4 pulg;hidraulico;No aplica;blanco;unidad;1;0;0
263;cople corrido      4 pulg. ;hidraulico;No aplica;blanco;unidad;1;0;0
264;cople corrido   3pulg.                      3 pulg.;hidrauluco;No aplica;blanco;unidad;3;0;0
265;cople   roscable liso 3pulg.;hidraulico;No aplica;blanco;unidad;3;0;0
266;tuerca union 21/2 pulg.;hidraulico;No aplica;blanco;unidad;3;0;0
267;codo  45 grado  3pulg;hidraulico;No aplica;blanmco;unidad;2;0;0
268;codo  45 grado   2 1/2 PULG.;Hidraulico;No aplica;gris;unidad;1;0;0
269;cople roscable/Liso 3pulg.;sanitario;No aplica;blaco;unidad;1;0;0
270;niple liso 3pulg.      ;sanitario;No aplica;blanco;unidad;2;0;0
271;chekk /g  3pulg.;No aplica;No aplica;gris;unidad;1;0;0
272;Y                                  3 pulg.;hidraulico;No aplica;blanco;unidad;2;0;0
273;T                                  3 pulg.;hidraulico;No aplica;blanco;unidad;2;0;0
274;reducido  cap  3x2 pulg.;hidraulico;No aplica;blanco;unidad;1;0;0
275;radusido bushin 3x2 1/2PUL;hidraulico;No aplica;blanco;unidad;1;0;0
276;redusido bushin 3x2pulg;hidraulico;No aplica;blanco;unidad;3;0;0
277;codo 90  grado 2 1/2 Pulg.;hidraulico;No aplica;blanco;unidad;1;0;0
278;T                           2 1/2 pulg.;hidraulico;No aplica;blanco;unidad;1;0;0
279;cople reducido 2 1/2X2 pulg;hidraulico;No aplica;blanco;unidad;3;0;0
280;tuerca union   2pulg.;p.b.c hidraulico;No aplica;gris;unidad;1;0;1
281;tuerca union 2pulg. ;hidraulico;No aplica;blanco;unidad;1;0;1
282;T          2 pulg;hidraulico;No aplica;blanco;unidad;1;0;1
283;codo 90 grado  2 pulg. ;hidraulico;No aplica;blanco;unidad;3;0;3
284;codo  90 grado  2pulg.;hidraulico;No aplica;gris;unidad;1;0;0
285;tuerca union 1 1/2 Pulg.;hidraulico;No aplica;blanco;unidad;6;0;0
286;tuerca union 1 1/4;hidraulico;No aplica;blanco;unidad;1;0;0
287;codo 45 grado  2 pulg.;hidraulico;No aplica;blanco;unidad;5;0;2
288;codo 45 grado 1 1/2;Hidraulico;No aplica;blanco;unidad;6;0;0
289;codo 90 grado 1 1/2;hidraulico;No aplica;blanco;unidad;5;0;0
290;codo liso    2 pulg.;hidraulico;No aplica;blanco;unidad;1;0;0
291;conector roscable 1 1/2 PUL;hidraulico;No aplica;blanco;unidad;2;0;0
292;cople liso  1 1/2 pulg.;hidraulico;No aplica;blanco;unidad;5;0;0
293;reducido  2x1;p.b.c. hidraulico;No aplica;blanco;unidad;4;0;0
294;reducido 2x1 1/2 PULG.;P.B.C hdraulico;No aplica;blanco;unidad;3;0;0
295;reducido  21/2X1 1/2 pulg.;P.B.C hidraulico;No aplica;blanco;unidad;1;0;0
296;conector rascable 1 pulg.;p.b.c  hidraulico;No aplica;blanco;unidad;4;0;0
297;Y      2PULG.;p.b.c sanitario;No aplica;blanco;unidad;7;0;0
298;Y      1 1/2 pulg.;p.b.c sanitario;No aplica;blanco;unidad;7;0;0
299;y     8x4     pulg.;p.b.c sanitario;No aplica;blanco;unidad;1;0;0
300;cople  6 pulg.;p.b.c sanitrio;No aplica;blanco;unidad;1;0;0
301;|T         6 PULG.;P.B.C sanitario;No aplica;blanco;unidad;1;0;0
302;reducido  8x6 pulg. ;p.b.c sanitario;No aplica;blanco;unidad;1;0;0
303;Y          4X2 PULG.;P.B.C sanitario;No aplica;blnco;unidad;1;0;0
304;reducido 4x2 pulg.;p.b.c sanitario;No aplica;blanco;unidad;4;0;0
305;cople      6 pulg,;p.b.c sanitario;No aplica;blanco;unidad;1;0;0
306;Y               4 PULG.;P.B.C sanitario;No aplica;blanco;unidad;3;0;0
307;tapon     3 pulg.;p.b.c hidraulico;No aplica;blanco;unidad;3;0;0
308;tapon gorro ;p.b.c hidraulico;No aplica;blanco;unidad;5;0;0
